TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/05/2016-01:38:39.156,13,296.9209,-157.3499,2732.769,311.3559,60.47876,2778.93,297.5441,398.4619,2783.247,321.6653,277.618,2811.918,120.2378,205.7304,2871.958,-3.788051,17.19326,2926.999,-36.40097,-120.1469,2708.476,-29.24327,-171.8953,2640.699,515.3776,196.2296,2772.003,646.1758,-6.953445,2801.079,618.3027,-206.0845,2696.13,577.6617,-276.2224,2615.921,206.5764,-156.3824,2713.133,425.5509,-464.0664,2345.819,329.8218,-696.1825,2307.425,340.0291,-715.1118,2184.713,380.3055,-153.8569,2692.59,430.244,-272.792,2330.04,410.7286,-705.7504,2246.132,325.6736,-715.5908,2191.557,319.5805,224.1684,2806.166,-15.79619,-205.2907,2603.768,-67.97705,-169.869,2625.447,557.8149,-344.8724,2593.6,550.1861,-266.667,2591.856
04/05/2016-01:38:39.247,104,296.5059,-156.8883,2733,311.5003,60.40341,2778.545,316.7843,391.1932,2771.275,331.2815,272.0107,2805.393,121.2594,209.1645,2868.798,-3.517438,16.60439,2924.9,-19.33422,-155.3848,2738.781,-16.41874,-188.4832,2699.252,518.1504,194.6364,2773.771,646.6921,-16.41984,2798.034,619.3781,-206.6337,2705.116,570.2363,-277.088,2625.317,205.9084,-155.3441,2713.06,411.1786,-442.625,2350.666,327.4748,-679.341,2263.042,325.0315,-695.1702,2137.273,380.137,-154.0901,2693.791,430.1302,-272.3859,2330.787,402.2122,-700.5328,2234.254,322.6069,-691.778,2157.235,324.9271,220.8939,2802.033,-11.02038,-237.3793,2640.063,-42.03149,-194.0751,2671.657,537.9055,-335.0808,2568.265,531.6822,-264.1228,2603.273
04/05/2016-01:38:39.286,142,296.2822,-156.7237,2733.24,312.7462,59.65457,2777.229,329.6791,385.9202,2762.423,340.6615,266.8134,2798.486,123.1801,213.0684,2864.771,-3.477813,16.39671,2923.721,-6.651435,-184.7352,2766.874,-9.468984,-232.0518,2731.332,521.6691,192.3217,2774.044,645.3807,-27.57198,2793.198,615.1876,-212.7727,2688.731,574.1815,-292.3429,2623.893,205.5267,-154.7113,2713.07,401.5232,-430.557,2350.443,313.8062,-696.2062,2259.861,319.7648,-685.0012,2121.333,380.0757,-154.9589,2695.151,429.9905,-272.0614,2331.363,391.5184,-694.1095,2214.596,321.2326,-676.8054,2121.42,332.3462,216.5955,2796.099,-6.446994,-295.3878,2680.409,-13.64879,-249.1091,2713.383,556.3757,-348.5473,2556.05,525.1347,-271.149,2611.856
04/05/2016-01:38:39.344,201,296.1671,-156.6959,2733.431,314.6662,58.626,2775.435,337.7815,382.3981,2756.284,346.7723,263.547,2793.842,131.0753,223.054,2856.346,-3.606381,16.40453,2923.435,-2.647328,-188.0364,2800.527,-10.04312,-259.02,2765.704,526.5989,188.6353,2771.733,644.1151,-34.6789,2790.249,613.6014,-217.8385,2676.128,578.9597,-301.5502,2622.271,205.3474,-154.3259,2713.039,400.983,-434.3427,2341.801,311.1539,-692.379,2239.754,324.1501,-676.8212,2110.471,380.0838,-155.9615,2696.37,429.8551,-271.5557,2331.801,386.0504,-690.2672,2204.002,322.3387,-670.1909,2105.044,337.7985,213.578,2791.674,-7.858396,-327.3188,2725.305,-7.396781,-292.5792,2755.213,587.6447,-367.5125,2565.098,533.3133,-285.0504,2612.289
04/05/2016-01:38:39.389,246,296.1521,-156.7299,2733.51,319.5902,56.3365,2770.306,344.1643,378.7881,2746.388,353.3416,260.3394,2784.887,137.0904,230.2155,2850.764,6.169895,30.44683,2945.344,13.88474,-167.3483,2859.157,-3.140888,-217.8437,2820.145,533.9088,183.8203,2765.48,645.692,-39.10564,2788.574,612.79,-226.4392,2672.804,587.7706,-315.1121,2634.71,205.3102,-153.9774,2712.879,406.2304,-445.2248,2331.386,314.4163,-684.041,2220.482,330.9971,-674.9255,2109.875,380.5589,-157.301,2697.175,429.3114,-271.4944,2331.946,384.1642,-688.7567,2196.261,325.7201,-669.8077,2095.314,345.0088,210.0038,2782.983,-12.54584,-295.4499,2769.26,-6.391269,-263.5788,2798.469,612.1623,-388.4653,2598.678,549.1479,-308.9634,2617.903
04/05/2016-01:38:39.450,307,296.3136,-156.7942,2733.395,325.9492,53.52818,2762.292,348.3516,375.6182,2735.17,358.6019,257.6252,2773.921,143.372,235.8613,2846.012,19.08603,47.68591,2969.556,24.4316,-141.7895,2894.331,1.852402,-182.8417,2848.231,543.2558,179.5639,2757.438,670.3999,-38.46861,2799.083,617.5092,-226.8418,2694.055,592.8616,-313.6185,2656.893,205.7875,-153.2553,2711.831,407.7887,-452.5291,2321.552,315.9671,-682.1292,2213.354,336.3652,-682.8952,2106.806,381.2182,-158.5298,2697.401,427.0351,-272.0894,2331.498,385.2966,-689.5164,2193.505,328.3937,-674.0016,2095.565,351.2473,206.9274,2772.567,-15.39395,-249.6007,2796.816,-14.49761,-225.7583,2816.177,595.1331,-387.2874,2620.74,553.3964,-302.7462,2629.594
04/05/2016-01:38:39.489,346,297.5634,-157.0816,2732.059,331.1685,51.47431,2754.897,350.8372,373.605,2726.631,361.476,256.2352,2766.06,147.501,238.5537,2843.245,25.89566,56.52005,2982.406,44.72618,-137.93,2927.609,-7.332016,-183.3217,2848.357,549.8975,177.7152,2751.579,691.8774,-32.02541,2809.76,622.3398,-229.1143,2711.899,594.2535,-311.6958,2672.321,207.0917,-152.1165,2709.322,406.8268,-454.2443,2316.627,314.5628,-689.9291,2210.605,337.3213,-690.426,2103.385,383.4513,-160.5098,2695.864,423.7202,-274.2617,2329.28,387.7198,-692.6954,2192.391,329.7297,-678.9927,2098.668,354.8489,205.3256,2765.013,-20.77891,-213.6361,2822.76,-20.91507,-200.8568,2822.503,565.0208,-380.1339,2617.014,552.7471,-325.435,2622.204
04/05/2016-01:38:39.553,410,299.5131,-157.5118,2729.98,334.3187,50.28305,2749.871,353.399,371.7436,2719.884,363.1677,255.2387,2760.712,150.8463,239.416,2840.76,29.22636,59.14994,2986.594,55.22616,-146.3232,2935.967,-12.51193,-200.1932,2838.392,554.7349,177.6945,2747.824,704.3415,-27.60955,2815.691,625.3808,-229.9802,2723.075,593.8058,-308.244,2680.679,208.636,-150.9526,2706.468,403.6437,-451.3458,2315.525,314.0717,-693.1603,2210.533,335.1704,-696.5178,2100.216,386.4367,-162.6281,2693.378,420.9597,-276.447,2326.567,389.5616,-695.8038,2191.185,329.7071,-681.8583,2101.017,356.7093,204.4165,2760.057,-19.60448,-201.0602,2826.368,-22.51416,-193.8958,2819.6,549.0124,-369.1311,2610.753,550.3477,-331.2224,2618.895
04/05/2016-01:38:39.599,456,301.7015,-158.0204,2727.601,335.6707,49.85488,2747.216,355.3974,370.6498,2716.196,364.0534,254.6864,2758.021,153.7748,239.5659,2837.544,28.30047,53.5743,2979.624,55.90787,-161.7117,2930.777,11.82557,-168.0473,2872.132,557.3311,178.5061,2746.221,708.2864,-24.94964,2817.194,625.8705,-235.2521,2718.078,592.3551,-305.5049,2678.564,210.1378,-149.9597,2703.664,374.9787,-444.9525,2309.771,312.8997,-695.3583,2211.791,332.3263,-699.1975,2098.159,389.3228,-164.5114,2690.827,419.1891,-278.0498,2323.983,390.213,-697.9048,2189.308,328.6245,-682.9607,2101.573,357.4094,204.0623,2757.595,-13.79714,-212.5938,2826.377,-14.51403,-213.706,2814.154,541.8285,-360.4125,2595.385,545.441,-288.0315,2637.104
04/05/2016-01:38:39.654,511,303.5208,-158.4804,2725.531,336.064,49.826,2746.08,357.0347,370.1661,2714.458,364.9868,254.3423,2756.534,155.7288,239.4238,2834.705,26.66952,47.37094,2969.884,48.77205,-171.5782,2918.928,10.85105,-185.9215,2854.4,559.1875,179.3749,2745.565,703.0419,-26.37974,2810.853,625.3641,-239.198,2707.146,591.1888,-306.0474,2662.991,211.3163,-149.3506,2701.37,371.3676,-443.3525,2308.487,312.6074,-693.439,2212.202,330.2574,-699.4617,2097.603,391.3052,-165.738,2688.993,418.3695,-278.8712,2322.102,390.058,-698.8735,2187.804,327.5102,-683.0704,2101.016,357.9949,203.8966,2756.227,-9.317532,-235.4534,2806.554,-1.371324,-213.2568,2814.452,565.0202,-365.2128,2590.536,542.5714,-267.7722,2642.475
